,cleaned_cs,changing topics,making a joke,quoting,borrowing,translations,giving a command,using a filler,exasperation,happiness,proper nouns,surprise,bert_ready
0,*MAR:[- eng] uhhuh . _*MAR:[- eng] uhhuh . _*MAR:aquí bien eh@s:eng&spa &tra trabajando . _*MAR:y aquí estaba +//. _,0,0,0,0,0,0,1,0,0,0,0,uhhuh uhhuh aquí bien eh tra trabajando y aquí estaba
1,*MAR:ustedes tienen algo el jueves ? _*MAR:llamé a +... _*MAR:[- eng] uhhuh . _*MAR:no que el [/] el [/] el número ese del [/] del teléfono que papá me ha dado que había salido en el períodico . _*MAR:lo llamé . _,0,0,0,0,0,0,1,0,0,0,0,ustedes tienen algo el jueves llamé a uhhuh no que el el el número ese del del teléfono que papá me ha dado que había salido en el períodico lo llamé
2,"*MAR:+"" no bueno no es necesariamente (.) pasa por las +//. _*MAR:bueno no me habían dicho que si es turn_light@s:eng [?] ya tiene más de setenta y cinco no tiene valor . _*MAR:y le ven un life@s:eng expectancy@s:eng report@s:eng . _*MAR:eh@s:eng&spa pueden ver que sí les [/] les conviene o no les conviene . _",0,0,0,1,0,0,0,0,0,0,0,no bueno no es necesariamente pasa por las bueno no me habían dicho que si es turn light ya tiene más de setenta y cinco no tiene valor y le ven un life expectancy report eh pueden ver que sí les les conviene o no les conviene
3,"*MAR:es en xxx cerca del aeropuerto . _*MAR:ok@s:eng&spa . _*MAR:ellos se llaman es un xxx brokers@s:eng . _*MAR:yo no lo había llamado porque Pedro@s:eng&spa había dicho +""/. _",0,0,0,1,0,0,0,0,0,0,0,es en cerca del aeropuerto ok ellos se llaman es un brokers yo no lo había llamado porque Pedro había dicho
4,"*MAR:+"" bueno y [/] y que traiga los papeles que tiene . _*MAR:entonces me dice +""/. _*MAR:bueno lo que él tiene es un certificate@s:eng specification@s:eng que la compañía se lo ha comprado con la I_T_T@s:eng&spa . _*MAR:me dice +""/. _",0,0,0,1,0,0,0,0,0,1,0,bueno y y que traiga los papeles que tiene entonces me dice bueno lo que él tiene es un certificate specification que la compañía se lo ha comprado con la I T T me dice
5,"*MAR:+"" ay mira qué casualidad . _*MAR:me dice +""/. _*MAR:uhhuh@s:eng . _*MAR:y él dice xxx exacto . _",0,0,0,0,0,0,1,0,0,0,0,ay mira qué casualidad me dice uhhuh y él dice exacto
6,*MAR:o sea no lo tienes que pagar inmediatamente . _*MAR:y te dan tiempo . _*MAR:exacto treinta días a [/] a cuando es due@s:eng o sea . _*MAR:no no hay que pagarlo instantáneamente y no +/. _,0,0,0,1,0,0,0,0,0,0,0,o sea no lo tienes que pagar inmediatamente y te dan tiempo exacto treinta días a a cuando es due o sea no no hay que pagarlo instantáneamente y no
7,*MAR:exacto . _*MAR:no no hay que pagarlo instantáneamente y no +/. _*MAR:eh@s:eng&spa bueno <él lo> [/] él [/] él es . _*MAR:bueno el effective@s:eng date@s:eng es julio . _,0,0,0,1,0,0,0,0,0,0,0,exacto no no hay que pagarlo instantáneamente y no eh bueno él lo él él es bueno el effective date es julio
8,"*MAR:me dice +"". _*MAR:+"" bueno está tan cerca de cien mil . _*MAR:le hacen a tu papá un life@s:eng expectancy@s:eng report@s:eng . _*MAR:a ver si basado en la gente de la edad de él cuánta [///] xxx si se mueren etc etc etc . _",1,0,0,1,0,0,0,0,0,0,0,me dice bueno está tan cerca de cien mil le hacen a tu papá un life expectancy report a ver si basado en la gente de la edad de él cuánta si se mueren etc etc etc
9,*MAR:no no no . _*MAR:xxx estás a las once . _*MAR:[- eng] uhhuh . _*MAR:[- eng] uhhuh . _*MAR:ok@s:eng&spa . _,0,0,0,0,0,0,1,0,0,0,0,no no no estás a las once uhhuh uhhuh ok
